window_id,model,version,mae,rmse
W01,Persistence,Baseline,1.708912037037037,2.98894541415296
W03,Persistence,Baseline,10.65790343915344,10.746121469764851
W04,Persistence,Baseline,1.9222056878306877,2.837680667825726
W05,Persistence,Baseline,2.203125,2.890503521805137
W08,Persistence,Baseline,1.9212962962962952,3.081077649208583
W09,Persistence,Baseline,10.305555555555555,14.958111952005316
W10,Persistence,Baseline,3.450892857142857,3.806045090333905
W01,TimesFM,2.5,2.303081759700069,2.9794135635212045
W03,TimesFM,2.5,4.340928163477984,4.59196713549508
W04,TimesFM,2.5,2.435475869153542,2.8845177509403404
W05,TimesFM,2.5,2.2335128784179688,2.950715158427745
W08,TimesFM,2.5,2.18685515721639,2.992741182767096
W09,TimesFM,2.5,9.56522786175763,12.353263375854027
W10,TimesFM,2.5,3.606531551906041,3.926304915590526
W01,Moirai,2.0,1.6551870416711882,2.7550862237862
W03,Moirai,2.0,5.559545125910845,5.775069746001001
W04,Moirai,2.0,2.101071627682478,2.816059958722997
W05,Moirai,2.0,1.994473987155492,3.0174976358130965
W08,Moirai,2.0,2.0226356188456216,2.911858662076442
W09,Moirai,2.0,9.635228333649811,13.302317198270456
W10,Moirai,2.0,2.0551430409547518,2.8983243530127774
