window_id,date,context_start,context_end,forecast_start,forecast_end,context_points,forecast_points,context_nan,forecast_nan,context_zero,forecast_zero,clean
W01,2012-06-04,2012-06-04 13:30:00,2012-06-04 21:25:00,2012-06-04 21:30:00,2012-06-04 23:25:00,96,24,0,0,0,0,True
W02,2012-06-05,2012-06-05 13:30:00,2012-06-05 21:25:00,2012-06-05 21:30:00,2012-06-05 23:25:00,96,24,0,0,9,0,False
W03,2012-06-06,2012-06-06 13:30:00,2012-06-06 21:25:00,2012-06-06 21:30:00,2012-06-06 23:25:00,96,24,0,0,0,0,True
W04,2012-06-07,2012-06-07 13:30:00,2012-06-07 21:25:00,2012-06-07 21:30:00,2012-06-07 23:25:00,96,24,0,0,0,0,True
W05,2012-06-08,2012-06-08 13:30:00,2012-06-08 21:25:00,2012-06-08 21:30:00,2012-06-08 23:25:00,96,24,0,0,0,0,True
W06,2012-06-09,2012-06-09 13:30:00,2012-06-09 21:25:00,2012-06-09 21:30:00,2012-06-09 23:25:00,96,24,0,0,5,0,False
W07,2012-06-10,2012-06-10 13:30:00,2012-06-10 21:25:00,2012-06-10 21:30:00,2012-06-10 23:25:00,96,24,0,0,26,0,False
W08,2012-06-11,2012-06-11 13:30:00,2012-06-11 21:25:00,2012-06-11 21:30:00,2012-06-11 23:25:00,96,24,0,0,0,0,True
W09,2012-06-12,2012-06-12 13:30:00,2012-06-12 21:25:00,2012-06-12 21:30:00,2012-06-12 23:25:00,96,24,0,0,0,0,True
W10,2012-06-13,2012-06-13 13:30:00,2012-06-13 21:25:00,2012-06-13 21:30:00,2012-06-13 23:25:00,96,24,0,0,0,0,True
