window_id,timestamp,threshold_value,ground_truth,actual_delta,abs_actual_delta,event_direction,timesfm_prediction,timesfm_predicted_delta,timesfm_absolute_error,timesfm_amplitude_ratio,timesfm_direction_correct,moirai_prediction,moirai_predicted_delta,moirai_absolute_error,moirai_amplitude_ratio,moirai_direction_correct
5min_W08,2012-06-27 13:55:00,6.25,33.5,-23.833333333333336,23.833333333333336,drop,60.54341506958008,0.07704925537110086,27.043415069580078,0.003232835889696539,0.0,61.56243133544922,0.03035736083984375,28.06243133544922,0.0012737354198535838,0.0
5min_W09,2012-06-27 18:35:00,6.25,56.66666666666666,20.791666666666657,20.791666666666657,rise,33.622642517089844,-0.2640838623046875,23.044024149576813,0.012701428247119244,0.0,40.54078674316406,1.1875877380371094,16.125879923502595,0.05711844832242613,1.0
5min_W05,2012-06-06 17:25:00,6.25,27.88888888888889,20.77777777777778,20.77777777777778,rise,26.198230743408203,1.022918701171875,1.6906581454806862,0.04923138133982286,1.0,23.606779098510746,-0.195306777954098,4.2821097903781435,0.009399791452336267,0.0
5min_W09,2012-06-27 18:50:00,6.25,55.11111111111112,15.736111111111121,15.736111111111121,rise,33.966087341308594,0.01844024658203125,21.145023769802528,0.0011718426777636798,1.0,45.40970993041992,1.7737884521484304,9.7014011806912,0.11272089016300697,1.0
5min_W09,2012-06-27 18:45:00,6.25,39.375,-11.5,11.5,drop,33.94764709472656,-0.12371444702148438,5.4273529052734375,0.010757778001868206,1.0,43.63592147827149,1.673614501953132,4.2609214782714915,0.14553169582201148,0.0
5min_W05,2012-06-06 17:20:00,6.25,7.111111111111111,-10.11111111111111,10.11111111111111,drop,25.175312042236328,-0.19849014282227273,18.064200931125217,0.019630893246158843,1.0,23.802085876464844,-0.04490089416503906,16.690974765353733,0.004440747774564303,1.0
5min_W07,2012-06-27 08:55:00,6.25,55.0,-9.75,9.75,drop,65.8199234008789,-0.02587890625,10.819923400878906,0.002654246794871795,1.0,65.26480102539062,-0.0965576171875,10.264801025390625,0.009903345352564102,1.0
5min_W03,2012-06-05 02:00:00,6.25,57.22222222222222,-9.527777777777779,9.527777777777779,drop,64.98764038085938,-1.762359619140625,7.765418158637154,0.18497068888939502,1.0,64.52328491210938,-2.226715087890625,7.301062689887154,0.2337077060176749,1.0
5min_W07,2012-06-27 09:00:00,6.25,63.75,8.75,8.75,rise,65.7765884399414,-0.0433349609375,2.0265884399414062,0.004952566964285714,0.0,65.22892761230469,-0.0358734130859375,1.4789276123046875,0.0040998186383928575,0.0
5min_W02,2012-06-04 21:35:00,6.25,56.625,-8.5,8.5,drop,64.73750305175781,-0.0638427734375,8.112503051757812,0.007510914522058824,1.0,64.95730590820312,0.1407623291015625,8.332305908203125,0.01656027401194853,0.0
5min_W02,2012-06-04 21:55:00,6.25,65.5,7.5,7.5,rise,63.91571044921875,0.04270172119140625,1.58428955078125,0.005693562825520833,1.0,64.95645904541016,-0.01413726806640625,0.5435409545898438,0.0018849690755208333,0.0
5min_W02,2012-06-04 21:40:00,6.25,64.0,7.375,7.375,rise,64.30817413330078,-0.42932891845703125,0.30817413330078125,0.058214090638241525,0.0,65.03863525390625,0.081329345703125,1.03863525390625,0.011027707891949153,1.0
5min_W10,2012-06-27 22:45:00,6.25,62.77777777777778,7.333333333333336,7.333333333333336,rise,59.3009033203125,0.07257080078125,3.4768744574652786,0.00989601828835227,1.0,58.87598419189453,-0.4208526611328125,3.9017935858832473,0.0573889992453835,0.0
5min_W02,2012-06-04 22:35:00,6.25,66.0,7.25,7.25,rise,63.63597869873047,0.2683258056640625,2.3640213012695312,0.03701045595366379,1.0,65.20743560791016,0.02880859375,0.7925643920898438,0.003973599137931034,1.0
5min_W09,2012-06-27 17:30:00,6.25,37.333333333333336,7.083333333333336,7.083333333333336,rise,33.04216003417969,-0.0707244873046875,4.291173299153648,0.009984633501838232,0.0,32.7718391418457,0.15230178833007812,4.561494191487633,0.021501428940716903,1.0
5min_W08,2012-06-27 13:35:00,6.25,52.75,-6.964285714285722,6.964285714285722,drop,60.32483673095703,0.06511688232421875,7.574836730957031,0.009350116436298066,0.0,61.29133605957031,0.08066558837890625,8.541336059570312,0.011582751151842935,0.0
5min_W08,2012-06-27 12:30:00,6.25,55.75,6.5,6.5,rise,59.62459182739258,0.047061920166015625,3.874591827392578,0.00724029541015625,1.0,60.2993278503418,0.1126251220703054,4.549327850341797,0.01732694185697006,1.0
5min_W04,2012-06-06 13:50:00,6.25,61.375,6.375,6.375,rise,59.97147750854492,0.10088729858398438,1.4035224914550781,0.015825458601409315,1.0,58.89768981933594,0.02739334106444602,2.4773101806640625,0.0042969946767758465,1.0
5min_W05,2012-06-06 18:55:00,6.25,34.285714285714285,-6.269841269841272,6.269841269841272,drop,27.171215057373047,-0.19299697875976207,7.114499228341238,0.03078179661231647,1.0,23.963218688964844,0.14120674133300426,10.322495596749441,0.02252158152906143,0.0
